Race_ID,Race_Name,Finish_Position_Raw,Finish_Position,Horse_No,Horse_Name,Canonical_Horse_Identity,Frame_No,Sex_Age,Carried_Weight,Jockey,Finish_Time,Margin,Passing_Order,Last3F,Body_Weight,Trainer,Source_URL
202508010611,第118回京都記念(GII),5,5,4,ソールオリエンス,202508010611|4|ソールオリエンス,4,牡5,58,川田将雅,2:16.1,1/2,10-9-10-9,34.1,472(-4),[東] 手塚貴久,https://db.netkeiba.com/race/202508010611/
202508010611,第118回京都記念(GII),6,6,9,プラダリア,202508010611|9|プラダリア,7,牡6,58,池添謙一,2:16.2,3/4,5-5-6-7,34.6,474(+4),[西] 池添学,https://db.netkeiba.com/race/202508010611/
202508010611,第118回京都記念(GII),7,7,8,エヒト,202508010611|8|エヒト,6,牡8,57,岩田康誠,2:16.4,1,7-7-8-7,34.6,466(-4),[西] 森秀行,https://db.netkeiba.com/race/202508010611/
202508010611,第118回京都記念(GII),8,8,11,セイウンハーデス,202508010611|11|セイウンハーデス,8,牡6,57,幸英明,2:16.5,1/2,2-2-2-2,35.4,488(-2),[西] 橋口慎介,https://db.netkeiba.com/race/202508010611/
202508010611,第118回京都記念(GII),9,9,6,チェルヴィニア,202508010611|6|チェルヴィニア,5,牝4,55,ルメール,2:16.7,1.1/4,7-7-3-5,35.3,500(+6),[東] 木村哲也,https://db.netkeiba.com/race/202508010611/
202508010611,第118回京都記念(GII),10,10,12,ブレイヴロッカー,202508010611|12|ブレイヴロッカー,8,牡5,57,田口貫太,2:16.7,ハナ,7-9-8-9,34.8,464(+2),[西] 本田優,https://db.netkeiba.com/race/202508010611/
202508010611,第118回京都記念(GII),11,11,5,フォワードアゲン,202508010611|5|フォワードアゲン,5,セ8,57,古川吉洋,2:17.3,3.1/2,11-11-11-11,35.1,442(+2),[東] 加藤和宏,https://db.netkeiba.com/race/202508010611/
202508010611,第118回京都記念(GII),12,12,7,メイショウユズルハ,202508010611|7|メイショウユズルハ,6,牡6,57,西村淳也,2:17.6,2,11-12-11-11,35.4,508(+8),[西] 岡田稲男,https://db.netkeiba.com/race/202508010611/
202507020211,第61回東海テレビ杯金鯱賞(GII),1,1,6,クイーンズウォーク,202507020211|6|クイーンズウォーク,6,牝4,55,川田将雅,2:01.3,,3-3-3-3,36.3,534(0),[西] 中内田充,https://db.netkeiba.com/race/202507020211/
202507020211,第61回東海テレビ杯金鯱賞(GII),2,2,2,ホウオウビスケッツ,202507020211|2|ホウオウビスケッツ,2,牡5,57,岩田康誠,2:01.3,ハナ,2-2-2-2,36.8,504(-2),[東] 奥村武,https://db.netkeiba.com/race/202507020211/
202507020211,第61回東海テレビ杯金鯱賞(GII),3,3,4,キングズパレス,202507020211|4|キングズパレス,4,牡6,57,池添謙一,2:01.6,2,10-10-9-7,36.0,502(-4),[東] 戸田博文,https://db.netkeiba.com/race/202507020211/
