Race_ID,Status,Race_Name,Result_Rows,Payout_Rows,Error
202506010911,OK,第66回アメリカジョッキーC(GII),18,6,
202508010611,OK,第118回京都記念(GII),12,6,
202507020211,OK,第61回東海テレビ杯金鯱賞(GII),10,6,
202509010811,OK,第73回阪神大賞典(GII),11,6,
202506020211,OK,第99回中山記念(GII),16,6,
202506030111,OK,第73回日経賞(GII),15,6,
202501010811,OK,第61回札幌記念(GII),16,6,
202505040211,OK,第76回毎日王冠(GII),11,6,
202508030211,OK,第60回京都大賞典(GII),18,6,
202505040611,OK,第28回富士S(GII),14,6,
202505010811,OK,第42回フェブラリーS(GI),16,6,
202509020411,OK,第69回大阪杯(GI),15,6,
202508020411,OK,第171回天皇賞(春)(GI),15,6,
202505030211,OK,第75回安田記念(GI),18,6,
202509030411,OK,第66回宝塚記念(GI),17,6,
202506040911,OK,第59回スプリンターズS(GI),16,6,
202505041111,OK,第172回天皇賞(秋)(GI),14,6,
202507050211,OK,第26回チャンピオンズC(GI),16,6,
202506010111,OK,第74回日刊スポ賞中山金杯(GIII),18,6,
202507010111,OK,第63回スポニチ賞京都金杯(GIII),16,6,
202505010211,OK,第39回根岸S(GIII),16,6,
202505010411,OK,第75回東京新聞杯(GIII),16,6,
202510011011,OK,第59回小倉大賞典(GIII),14,6,
202504010511,OK,第47回新潟大賞典(GIII),16,6,
202502010611,OK,第61回函館記念(GIII),14,6,
202503020611,OK,第61回七夕賞(GIII),15,6,
202504020207,OK,第60回関屋記念(GIII),18,6,
202501010511,OK,第30回エルムS(GIII),14,6,
202507030207,OK,第42回東海S(GIII),16,6,
202505050311,OK,第30回武蔵野S(GIII),16,6,
